,Unnamed: 0,Invoice ID,Name,Order Date,State,City,Categories,Subcategories,Ratings,Quantity,MRP,Final Price,GST%%,City_Tier,Discount%,Delivery Fee%,Brand,Sale,Covid
1514,1514,OD118614153286784000,G6M2R11,05-12-2020 00:00,Uttar Pradesh,Farrukhabad,Audio & Video,Headphones,4.2,1,549,549,18%,Tier 3,0,0,boAt,No,No
1515,1515,OD118865479030384000,G6M2R11,06-10-2020 00:00,Delhi,New Delhi,Beauty and Grooming,Shaving & Beard Care,4.3,1,196,236,18%,Tier_1,0,21,Gillette,No,1st Wave
1516,1516,OD118894795054066000,G6M2R11,14-06-2020 00:00,Uttar Pradesh,Farrukhabad,Beauty and Grooming,Body & Face Skin Care,4.1,1,165,210,12%,Tier 3,28,0,Cipla,No,1st Wave
1517,1517,OD119233944365773000,G6M2R11,23-07-2020 00:00,Maharashtra,Jalgaon,Food Products,Food Products,4.2,1,429,429,18%,Tier_2,0,0,Cadbury,No,1st Wave
1518,1518,OD119477580970355000,G6M2R11,20-08-2020 00:00,Uttar Pradesh,Farrukhabad,Health & Personal Care Appliances,Health Care,4.2,1,625,625,12%,Tier 3,0,0,Dr.,No,1st Wave
1519,1519,OD119641681509973000,G6M2R11,09-08-2020 00:00,Uttar Pradesh,Farrukhabad,Food Products,Tea Powder,4.4,1,425,465,5%,Tier 3,0,10,Lipton,Yes,1st Wave
1520,1520,OD120005276165971000,G6M2R11,20-10-2020 00:00,Uttar Pradesh,Farrukhabad,Home Furnishing,Kitchen & Table Linen,3.8,1,389,389,5%,Tier 3,0,0,Fabfurn,Yes,1st Wave
1521,1521,OD120101043754484000,G6M2R11,31-10-2020 00:00,Uttar Pradesh,Farrukhabad,Pens & Stationery,Pens & Stationery,4.6,1,1230,1230,18%,Tier 3,0,0,Casio,Yes,No
1522,1522,OD117103433865372000,G6M2R12,19-11-2019 00:00,Uttar Pradesh,Unnao,Books,Books,4.4,1,100,230,0%,Tier 3,0,130,SUPPLEMENT,No,No
1523,1523,OD118025382503963000,G6M2R12,03-05-2020 00:00,Uttar Pradesh,Kanpur,Mobiles & Accessories,Mobiles,2.4,1,37469,37469,12%,Tier_2,0,0,OnePlus,No,1st Wave
1524,1524,OD118078351427626000,G6M2R12,03-11-2020 00:00,Uttar Pradesh,Unnao,Mobiles & Accessories,Mobile Accessories,4.3,1,249,249,18%,Tier 3,0,0,Flipkart,Yes,No
1525,1525,OD118549746847411000,G6M2R12,05-05-2020 00:00,Uttar Pradesh,Unnao,Mobiles & Accessories,Mobiles,4.4,1,15999,15999,18%,Tier 3,0,0,Realme,No,1st Wave
1526,1526,OD118567766213972000,G6M2R12,05-07-2020 00:00,Uttar Pradesh,Unnao,"Kitchen, Cookware & Serveware",Cookware,4,1,949,949,12%,Tier 3,0,0,Prestige,No,1st Wave
1527,1527,OD118588113845533000,G6M2R12,05-09-2020 00:00,Uttar Pradesh,Unnao,Mobiles & Accessories,Mobiles,4.4,1,8999,8999,18%,Tier 3,0,0,Redmi,No,1st Wave
1528,1528,OD118589033607853000,G6M2R12,05-09-2020 00:00,Uttar Pradesh,Unnao,Mobiles & Accessories,Mobile Accessories,3.7,1,198,198,18%,Tier 3,0,0,Onlite,No,1st Wave
1529,1529,OD118648798035800000,G6M2R12,16-05-2020 00:00,Uttar Pradesh,Unnao,Audio & Video,Headphones,3,1,1799,1799,18%,Tier 3,0,0,Realme,No,1st Wave
1530,1530,OD119505438603585000,G6M2R12,23-08-2020 00:00,Uttar Pradesh,Unnao,Automotive Accessories,Vehicle Utility Accessories,4.4,1,499,474,18%,Tier 3,14,9,boAt,No,1st Wave
1531,1531,OD120175728155479000,G6M2R12,11-09-2020 00:00,Uttar Pradesh,Unnao,Mobiles & Accessories,Mobiles,4.3,1,7499,6749,18%,Tier 3,11,0,POCO,No,1st Wave
1532,1532,OD121685500900628000,G6M2R12,05-03-2021 00:00,Uttar Pradesh,Unnao,Mobiles & Accessories,Mobiles,4.3,1,8999,8999,18%,Tier 3,0,0,Realme,No,No
1533,1533,OD121777252053241000,G6M2R12,13-05-2021 00:00,Uttar Pradesh,Unnao,Health & Personal Care Appliances,Health Care,3.7,1,1999,1999,12%,Tier 3,0,0,Smart,No,2nd Wave
1534,1534,OD122198440468434000,G6M2R12,07-01-2021 00:00,Uttar Pradesh,Unnao,Audio & Video,Headphones,4.2,1,1099,1099,18%,Tier 3,0,0,boAt,No,No
